,permit_number,business_name,issued_date,expiration_date,address,latitude,longitude
379,1144400,NANDO'S PERI-PERI,03/04/2020,05/31/2021,227 E ONTARIO ST,41.893262977,-87.621958776
380,1144408,THE GLUNZ TAVERN,02/28/2020,05/31/2021,1202 N WELLS ST,41.903967607,-87.63462792700001
381,1144409,ORANGE ON ROSCOE,02/28/2020,05/31/2021,2011 W ROSCOE ST,41.943102228,-87.67892832
382,1144410,BERNIE'S,03/06/2020,05/31/2021,3664 N CLARK ST,41.948843781,-87.65800926200001
383,1144411,ELEPHANT & CASTLE PUB & RESTAURANT,02/28/2020,05/31/2021,185 N WABASH AVE,41.885431671,-87.626119286
384,1144412,"INA MAE TAVERN & PACKAGED GOODS, INC.",06/29/2020,05/31/2021,1415 N WOOD ST,41.907583209,-87.672348411
385,1144413,LINCOLN STATION,07/01/2020,05/31/2021,2430-32 N LINCOLN AVE,41.926064411999995,-87.649841023
386,1144415,"BUTCH MC GUIRE'S, INC.",03/19/2020,05/31/2021,20 W DIVISION ST,41.90403823,-87.629502324
387,1144416,BOEUFHAUS,05/01/2020,05/31/2021,1012 N WESTERN AVE,41.899833871999995,-87.68709615700001
388,1144417,FINLEY MAHONY'S,02/28/2020,05/31/2021,3701 N BROADWAY,41.949249548000004,-87.64825980100001
389,1144418,SHAKE SHACK,03/06/2020,05/31/2021,66 E OHIO ST,41.892632695,-87.625469349
390,1144419,SHAKE SHACK,03/04/2020,05/31/2021,12 S MICHIGAN AVE,41.8818033,-87.624504274
391,1144420,DAMN FINE COFFEE BAR,02/28/2020,05/31/2021,3317 W ARMITAGE AVE,41.917242821,-87.711007063
392,1144422,PANCHO PISTOLAS MEXICAN RESTAURANT,05/29/2020,05/31/2021,700 W 31ST ST,41.838185285,-87.643912017
393,1144423,MRS FIELDS COOKIES,03/17/2020,05/31/2021,32 E RANDOLPH ST,41.8846042,-87.626759487
394,1144430,CAFE RESTAURANT ART,03/13/2020,05/31/2021,4658 N ROCKWELL ST,41.966571693,-87.693893491
395,1144434,THE GRAYSTONE TAVERN,07/23/2020,05/31/2021,3441 N SHEFFIELD AVE,41.944772763,-87.654107848
396,1144438,LYFE KITCHEN,02/28/2020,05/31/2021,259 E ERIE ST,41.894085381,-87.62040431
397,1144439,LYFE KITCHEN,02/28/2020,05/31/2021,413-419 N CLARK ST,41.889590469,-87.63092288799999
398,1144441,PEET'S COFFEE & TEA,07/16/2020,05/31/2021,41 E 8TH ST,41.871729899,-87.625975417
399,1144444,FLORIOLE BAKERY LLC,03/17/2020,05/31/2021,1220 W WEBSTER AVE,41.921763099,-87.659241874
