,PERMIT NUMBER,DOING BUSINESS AS NAME,ISSUED DATE,EXPIRATION DATE,ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,LOCATION
446,1144563,LADY GREGORY'S,06/12/2020,05/31/2021,5254-60 N CLARK ST,CHICAGO,IL,60640.0,41.977859519,-87.668501013,"(41.977859518520475, -87.66850101315161)"
447,1144564,The Bird Cage,06/16/2020,05/31/2021,5308 - 5312 N CLARK ST,CHICAGO,,60640.0,41.978342059,-87.66848426600001,"(41.978342059241015, -87.66848426596569)"
448,1144565,DOC B'S FRESH KITCHEN,05/29/2020,05/31/2021,100 E WALTON ST,CHICAGO,IL,60611.0,41.900096625,-87.625359341,"(41.90009662517738, -87.62535934070077)"
449,1144566,PROSECCO,06/17/2020,05/31/2021,710 N WELLS ST,CHICAGO,IL,60654.0,41.89519143,-87.63431031100001,"(41.8951914298092, -87.63431031085479)"
450,1144567,JOHNSON'S REAL ICE CREAM,06/24/2020,05/31/2021,2951 N BROADWAY,CHICAGO,,60657.0,41.936414698,-87.644127995,"(41.936414697666024, -87.64412799489625)"
451,1144569,DOC B'S,05/29/2020,05/31/2021,55 E GRAND AVE,CHICAGO,IL,60611.0,41.891590741,-87.62586713700001,"(41.891590741083505, -87.62586713724458)"
452,1144571,ROKA AKOR/ENOLO WINE BAR,06/05/2020,05/31/2021,111 W ILLINOIS ST,CHICAGO,IL,60654.0,41.890704754,-87.63161066200001,"(41.890704754245085, -87.63161066165118)"
453,1144572,GEMINI BISTRO,07/09/2020,05/31/2021,2075 N LINCOLN AVE,CHICAGO,IL,60614.0,41.920057537,-87.641019344,"(41.92005753669409, -87.64101934425842)"
454,1144574,CH DISTILLERY,06/01/2020,05/31/2021,564 W RANDOLPH ST,CHICAGO,IL,60661.0,41.884543398000005,-87.64233138700001,"(41.884543397737836, -87.64233138672651)"
455,1144575,RAMEN TAKEYA / OMAKASE TAKEYA,06/02/2020,05/31/2021,819 W FULTON MARKET,CHICAGO,,60607.0,41.886681235,-87.64835209200001,"(41.886681234713045, -87.64835209199197)"
456,1144576,SHAKE SHACK,06/01/2020,05/31/2021,185 N MORGAN ST,CHICAGO,,60607.0,41.885529268,-87.65199192600001,"(41.885529267610764, -87.65199192620645)"
457,1144578,MCM PUB AND LIQUORS,10/16/2020,05/31/2021,3906-3910 N CICERO AVE,CHICAGO,IL,60641.0,41.951788070999996,-87.74741980799999,"(41.951788071374104, -87.74741980822624)"
458,1144581,DAKOTA 94,06/04/2020,05/31/2021,5304 W DEVON AVE,CHICAGO,,60646.0,41.997436752,-87.761002601,"(41.997436752172106, -87.76100260054012)"
459,1144582,KASEY'S TAVERN,05/29/2020,05/31/2021,701 S DEARBORN ST,CHICAGO,IL,60605.0,41.873324342,-87.629021704,"(41.87332434171823, -87.62902170438788)"
